Node 1	Node 2	Truss
# Nodes:3674 Edges:14317
3619        	863         	2           
3619        	624         	2           
3619        	173         	2           
3619        	1065        	3           
3619        	1475        	2           
3619        	1686        	2           
3619        	1348        	3           
3619        	1080        	2           
3619        	1314        	2           
3619        	845         	3           
3619        	2977        	2           
3619        	2078        	2           
3619        	958         	2           
3619        	1984        	3           
3619        	864         	3           
3619        	3659        	2           
3619        	3379        	2           
3619        	1822        	2           
3619        	703         	3           
3619        	3348        	4           
3619        	2012        	2           
3619        	2962        	4           
3619        	1260        	2           
3619        	2325        	4           
3619        	2436        	4           
3619        	3161        	2           
3619        	2321        	2           
3619        	3310        	4           
3619        	2826        	2           
2826        	2780        	2           
2826        	1027        	2           
2826        	2536        	3           
2826        	1628        	2           
2826        	369         	2           
2826        	2999        	2           
2826        	2380        	3           
2826        	1045        	2           
2826        	1263        	3           
2826        	585         	2           
2826        	2496        	3           
2826        	2866        	2           
2826        	822         	2           
2826        	3277        	3           
2826        	1211        	2           
2826        	1199        	2           
2826        	159         	2           
2826        	1001        	2           
2826        	2034        	2           
2826        	1863        	3           
2826        	929         	2           
2826        	2157        	2           
2826        	3619        	2           
3310        	2136        	2           
3310        	676         	2           
3310        	3057        	3           
3310        	703         	3           
3310        	3348        	4           
3310        	2510        	2           
3310        	3564        	2           
3310        	2962        	4           
3310        	2436        	4           
3310        	3619        	4           
2321        	1139        	3           
2321        	1941        	3           
2321        	1909        	2           
2321        	1710        	2           
2321        	2122        	3           
2321        	837         	3           
2321        	816         	2           
2321        	181         	3           
2321        	3290        	2           
2321        	988         	3           
2321        	1428        	3           
2321        	2880        	3           
2321        	968         	2           
2321        	1800        	3           
2321        	37          	3           
2321        	1769        	4           
2321        	2202        	3           
2321        	1846        	3           
2321        	3327        	2           
2321        	1475        	3           
2321        	2411        	2           
2321        	1559        	3           
2321        	3294        	2           
2321        	767         	3           
2321        	1259        	3           
2321        	3443        	3           
2321        	1114        	2           
2321        	3490        	3           
2321        	2852        	5           
2321        	2561        	5           
2321        	3301        	4           
2321        	69          	2           
2321        	2060        	2           
2321        	3424        	2           
2321        	2345        	2           
2321        	1754        	3           
2321        	2608        	4           
2321        	1439        	3           
2321        	1502        	3           
2321        	2143        	2           
2321        	694         	6           
2321        	2048        	3           
2321        	2275        	2           
2321        	2896        	3           
2321        	3625        	2           
2321        	1008        	4           
2321        	1320        	3           
2321        	326         	4           
2321        	2374        	4           
2321        	1971        	3           
2321        	1405        	2           
2321        	1969        	3           
2321        	79          	3           
2321        	2563        	3           
2321        	1957        	4           
2321        	3050        	3           
2321        	883         	2           
2321        	3587        	3           
2321        	963         	4           
2321        	160         	3           
2321        	959         	3           
2321        	724         	2           
2321        	2186        	2           
2321        	1074        	3           
2321        	2210        	3           
2321        	1907        	3           
2321        	523         	2           
2321        	3271        	3           
2321        	1249        	3           
2321        	3172        	2           
2321        	2340        	4           
2321        	3190        	4           
2321        	1149        	3           
2321        	2051        	3           
2321        	621         	2           
2321        	476         	4           
2321        	3020        	2           
2321        	1772        	2           
2321        	3048        	3           
2321        	2020        	3           
2321        	3510        	3           
2321        	3309        	3           
2321        	1221        	2           
2321        	1238        	3           
2321        	2387        	3           
2321        	2298        	2           
2321        	223         	2           
2321        	3240        	4           
2321        	297         	4           
2321        	3213        	5           
2321        	761         	3           
2321        	2265        	5           
2321        	2711        	3           
2321        	21          	6           
2321        	894         	2           
2321        	818         	3           
2321        	2751        	3           
2321        	785         	3           
2321        	1287        	4           
2321        	845         	2           
2321        	244         	2           
2321        	2538        	2           
2321        	1507        	3           
2321        	3664        	3           
2321        	1868        	2           
2321        	1733        	2           
2321        	1399        	4           
2321        	307         	3           
2321        	1211        	4           
2321        	974         	3           
2321        	506         	2           
2321        	2887        	7           
2321        	3531        	2           
2321        	1672        	4           
2321        	1985        	2           
2321        	1902        	2           
2321        	707         	2           
2321        	3123        	2           
2321        	1694        	4           
2321        	3619        	2           
3161        	3209        	2           
3161        	137         	2           
3161        	719         	3           
3161        	3134        	2           
3161        	3621        	3           
3161        	2313        	8           
3161        	2978        	2           
3161        	163         	2           
3161        	1903        	2           
3161        	3404        	2           
3161        	173         	3           
3161        	2064        	3           
3161        	3038        	3           
3161        	2050        	2           
3161        	1381        	2           
3161        	3462        	2           
3161        	2168        	2           
3161        	2170        	2           
3161        	2449        	2           
3161        	3417        	2           
3161        	3442        	2           
3161        	3563        	3           
3161        	2084        	3           
3161        	2265        	3           
3161        	818         	2           
3161        	1287        	2           
3161        	1172        	2           
3161        	2436        	2           
3161        	396         	3           
3161        	3307        	3           
3161        	2600        	3           
3161        	643         	2           
3161        	3490        	2           
3161        	1053        	2           
3161        	3619        	2           
2436        	1073        	2           
2436        	2956        	3           
2436        	161         	2           
2436        	1941        	2           
2436        	703         	3           
2436        	3348        	4           
2436        	2866        	2           
2436        	3463        	2           
2436        	1987        	2           
2436        	2962        	4           
2436        	1378        	2           
2436        	478         	2           
2436        	2470        	2           
2436        	2325        	2           
2436        	18          	3           
2436        	3161        	2           
2436        	193         	3           
2436        	1529        	2           
2436        	3095        	2           
2436        	2852        	2           
2436        	3310        	4           
2436        	3619        	4           
2325        	1163        	2           
2325        	448         	2           
2325        	3414        	3           
2325        	3564        	4           
2325        	554         	4           
2325        	2976        	4           
2325        	2345        	3           
2325        	183         	2           
2325        	2623        	2           
2325        	531         	3           
2325        	1214        	3           
2325        	2042        	2           
2325        	2558        	2           
2325        	41          	3           
2325        	2898        	3           
2325        	2989        	4           
2325        	489         	2           
2325        	649         	3           
2325        	433         	2           
2325        	2608        	4           
2325        	2871        	2           
2325        	2061        	5           
2325        	1857        	2           
2325        	2971        	3           
2325        	1123        	3           
2325        	1338        	2           
2325        	2143        	3           
2325        	1160        	3           
2325        	75          	4           
2325        	694         	3           
2325        	3085        	2           
2325        	809         	3           
2325        	3064        	2           
2325        	1713        	2           
2325        	2377        	2           
2325        	1533        	2           
2325        	97          	3           
2325        	2601        	3           
2325        	2258        	4           
2325        	3267        	4           
2325        	3541        	3           
2325        	2975        	2           
2325        	3142        	3           
2325        	3422        	3           
2325        	2326        	3           
2325        	3364        	3           
2325        	295         	4           
2325        	1008        	4           
2325        	1320        	3           
2325        	2371        	3           
2325        	1800        	2           
2325        	2374        	3           
2325        	876         	4           
2325        	1405        	3           
2325        	109         	2           
2325        	1969        	4           
2325        	2268        	3           
2325        	3594        	4           
2325        	2771        	3           
2325        	79          	4           
2325        	981         	3           
2325        	1038        	2           
2325        	2563        	5           
2325        	3606        	2           
2325        	1957        	4           
2325        	3107        	2           
2325        	2995        	2           
2325        	3297        	2           
2325        	1122        	4           
2325        	963         	3           
2325        	3079        	2           
2325        	945         	3           
2325        	1217        	3           
2325        	2559        	2           
2325        	1634        	2           
2325        	160         	3           
2325        	1797        	3           
2325        	2486        	3           
2325        	959         	4           
2325        	3038        	2           
2325        	3151        	4           
2325        	3275        	2           
2325        	1878        	2           
2325        	724         	3           
2325        	2210        	4           
2325        	1907        	3           
2325        	756         	3           
2325        	185         	2           
2325        	2733        	3           
2325        	523         	3           
2325        	1851        	2           
2325        	563         	3           
2325        	999         	6           
2325        	3496        	2           
2325        	2189        	3           
2325        	2526        	3           
2325        	65          	2           
2325        	1992        	3           
2325        	1018        	2           
2325        	3172        	3           
2325        	2340        	5           
2325        	2805        	3           
2325        	965         	3           
2325        	492         	3           
2325        	3190        	4           
2325        	453         	2           
2325        	222         	2           
2325        	284         	4           
2325        	476         	2           
2325        	3417        	2           
2325        	768         	3           
2325        	3020        	4           
2325        	2214        	2           
2325        	1975        	2           
2325        	1772        	4           
2325        	2292        	3           
2325        	1769        	3           
2325        	3048        	3           
2325        	2020        	3           
2325        	3510        	3           
2325        	3309        	3           
2325        	2202        	3           
2325        	2463        	2           
2325        	2026        	2           
2325        	1221        	3           
2325        	592         	3           
2325        	1238        	3           
2325        	1692        	3           
2325        	1231        	4           
2325        	1934        	2           
2325        	2387        	4           
2325        	2298        	4           
2325        	520         	4           
2325        	1179        	2           
2325        	2411        	5           
2325        	3240        	8           
2325        	2998        	4           
2325        	3010        	4           
2325        	2434        	3           
2325        	3213        	3           
2325        	14          	3           
2325        	2513        	2           
2325        	3420        	5           
2325        	1080        	3           
2325        	1144        	2           
2325        	637         	2           
