# Nodes:24 Edges:68
Node 1	Node 2	Truss
1           	2           	2           
2           	24          	6           
2           	22          	6           
2           	21          	6           
2           	20          	6           
2           	18          	6           
2           	5           	3           
2           	4           	6           
2           	3           	3           
2           	1           	2           
3           	4           	3           
3           	2           	3           
4           	22          	6           
4           	21          	6           
4           	20          	6           
4           	18          	6           
4           	3           	3           
4           	2           	6           
5           	22          	3           
5           	7           	2           
5           	6           	2           
5           	2           	3           
18          	24          	7           
18          	23          	7           
18          	22          	7           
18          	21          	7           
18          	20          	7           
18          	19          	7           
18          	17          	6           
18          	16          	6           
18          	15          	6           
18          	14          	6           
18          	12          	5           
18          	4           	6           
18          	2           	6           
20          	24          	7           
20          	23          	7           
20          	22          	7           
20          	21          	7           
20          	19          	7           
20          	18          	7           
20          	13          	6           
20          	4           	6           
20          	2           	6           
21          	24          	7           
21          	23          	7           
21          	22          	7           
21          	20          	7           
21          	19          	7           
21          	18          	7           
21          	13          	6           
21          	12          	5           
21          	4           	6           
21          	2           	6           
22          	24          	7           
22          	23          	7           
22          	21          	7           
22          	20          	7           
22          	19          	7           
22          	18          	7           
22          	14          	5           
22          	13          	6           
22          	12          	5           
22          	5           	3           
22          	4           	6           
22          	2           	6           
24          	23          	7           
24          	22          	7           
24          	21          	7           
24          	20          	7           
24          	19          	7           
24          	18          	7           
24          	17          	6           
24          	16          	6           
24          	15          	6           
24          	14          	6           
24          	2           	6           
6           	5           	2           
7           	5           	2           
8           	9           	2           
9           	11          	3           
9           	10          	3           
9           	8           	2           
10          	11          	3           
10          	9           	3           
11          	10          	3           
11          	9           	3           
12          	23          	5           
12          	22          	5           
12          	21          	5           
12          	18          	5           
12          	13          	5           
13          	23          	6           
13          	22          	6           
13          	21          	6           
13          	20          	6           
13          	19          	6           
13          	12          	5           
23          	24          	7           
23          	22          	7           
23          	21          	7           
23          	20          	7           
23          	19          	7           
23          	18          	7           
23          	13          	6           
23          	12          	5           
19          	24          	7           
19          	23          	7           
19          	22          	7           
19          	21          	7           
19          	20          	7           
19          	18          	7           
19          	14          	5           
19          	13          	6           
14          	24          	6           
14          	22          	5           
14          	19          	5           
14          	18          	6           
14          	17          	6           
14          	16          	6           
14          	15          	6           
15          	24          	6           
15          	18          	6           
15          	17          	6           
15          	16          	6           
15          	14          	6           
16          	24          	6           
16          	18          	6           
16          	17          	6           
16          	15          	6           
16          	14          	6           
17          	24          	6           
17          	18          	6           
17          	16          	6           
17          	15          	6           
17          	14          	6           
