Node 1	Node 2	Truss
# Nodes:24 Edges:68
1	2	2
2	24	3
2	22	3
2	21	3
2	20	3
2	18	3
2	5	3
2	4	3
2	3	3
2	1	2
3	4	3
3	2	3
4	22	3
4	21	3
4	20	3
4	18	3
4	3	3
4	2	3
5	22	3
5	7	2
5	6	2
5	2	3
18	24	4
18	23	3
18	22	4
18	21	3
18	20	3
18	19	3
18	17	3
18	16	3
18	15	3
18	14	4
18	12	3
18	4	3
18	2	3
20	24	3
20	23	3
20	22	3
20	21	3
20	19	3
20	18	3
20	13	3
20	4	3
20	2	3
21	24	3
21	23	4
21	22	3
21	20	3
21	19	3
21	18	3
21	13	3
21	12	3
21	4	3
21	2	3
22	24	4
22	23	4
22	21	3
22	20	3
22	19	3
22	18	4
22	14	3
22	13	3
22	12	3
22	5	3
22	4	3
22	2	3
24	23	3
24	22	4
24	21	3
24	20	3
24	19	4
24	18	4
24	17	3
24	16	3
24	15	3
24	14	3
24	2	3
6	5	2
7	5	2
8	9	2
9	11	3
9	10	3
9	8	2
10	11	3
10	9	3
11	10	3
11	9	3
12	23	3
12	22	3
12	21	3
12	18	3
12	13	3
13	23	3
13	22	3
13	21	3
13	20	3
13	19	3
13	12	3
23	24	3
23	22	4
23	21	4
23	20	3
23	19	3
23	18	3
23	13	3
23	12	3
19	24	4
19	23	3
19	22	3
19	21	3
19	20	3
19	18	3
19	14	3
19	13	3
14	24	3
14	22	3
14	19	3
14	18	4
14	17	3
14	16	3
14	15	3
15	24	3
15	18	3
15	17	3
15	16	3
15	14	3
16	24	3
16	18	3
16	17	3
16	15	3
16	14	3
17	24	3
17	18	3
17	16	3
17	15	3
17	14	3
